SYMBOL,TM Limit Proprietary,LMT Overall Limit
MOTHERSON,121228800,181843200
MPHASIS,3418525,5127925
MUTHOOTFIN,2957900,4437125
NATIONALUM,26842500,40267500
NAUKRI,9021750,13533000
NBCC,30972500,46462000
NESTLEIND,14360000,21540000
NHPC,98246400,147366400
NMDC,103403250,155108250
NTPC,94825500,142239000
NUVAMA,2453500,3680000
NYKAA,41093750,61643750
OBEROIRLTY,3522750,5283950
OFSS,716550,1074825
OIL,20400800,30601200
ONGC,103428000,155142000
PAGEIND,191100,286650
PATANJALI,10177200,15265800
PAYTM,19159575,28739725
PERSISTENT,3146400,4719700
PETRONET,21650500,32476700
PFC,43566900,65349700
PGEL,4806050,7208600
PHOENIXLTD,3906350,5859700
PIDILITIND,6242500,9364000
PIIND,2142350,3213700
PNB,103160000,154744000
PNBHOUSING,5623150,8435050
POLICYBZR,12128200,18192300
POLYCAB,1737625,2606500
POWERGRID,135770200,203657200
POWERINDIA,383550,575350
PPLPHARMA,21538125,32308500
PREMIERENE,4784575,7176575
PRESTIGE,4539150,6808950
RBLBANK,18389600,27584400
RECLTD,37416400,56124600
RELIANCE,132853000,199280000
RVNL,16986975,25481225
SAIL,43371600,65057400
SAMMAANCAP,24462700,36696200
SBICARD,8967200,13450400
SBILIFE,8951250,13426875
SBIN,87389250,131084250
SHREECEM,313600,470425
SHRIRAMFIN,42102225,63153750
SIEMENS,2670850,4006275
SOLARINDS,728950,1093400
SONACOMS,13424775,20137775
SRF,3705800,5558600
SUNPHARMA,21843850,32765950
SUPREMEIND,1947225,2920750
SUZLON,362994525,544487275
SWIGGY,75104900,112658000
SYNGENE,4946000,7419000
TATACONSUM,13094400,19641600
TATAELXSI,1048300,1572400
TATAPOWER,40441950,60663650
TATASTEEL,174586500,261877000
TATATECH,5023200,7534400
TCS,25288900,37933350
TECHM,16006200,24009000
TIINDIA,3175800,4763800
TITAN,9135875,13703900
TMPV,63446400,95170400
TORNTPHARM,2145000,3217750
TORNTPOWER,4929150,7393725
TRENT,6718000,10077100
TVSMOTOR,6326775,9490250
ULTRACEMCO,2391100,3586700
UNIONBANK,57808200,86712300
UNITDSPR,7418000,11127200
UNOMINDA,5458200,8187300
UPL,16845360,25268040
VBL,41151375,61727625
VEDL,51017450,76526750
VOLTAS,6918750,10378125
WAAREEENER,3087175,4630850
WIPRO,71682000,107526000
YESBANK,709453200,1064179800
ZYDUSLIFE,7547400,11322000
