CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKINDHOTEL25-JAN-2023,319.7000000,320.2500000,322.0000000,317.3500000,319.3000000,319.3000000,-0.1200000,12943.0000000,3228000.0000000,1614.0000000,1031533600.0000000
FUTSTKTATACONSUM23-FEB-2023,775.7500000,769.0500000,772.6500000,765.5000000,771.1000000,771.1000000,-0.5900000,85.0000000,23400.0000000,26.0000000,18013770.0000000
FUTIDXFINNIFTY31-JAN-2023,19068.0000000,19097.0500000,19194.5000000,19029.9000000,19168.8500000,19168.8500000,0.5200000,297.0000000,20280.0000000,507.0000000,388030652.0000000
FUTSTKMUTHOOTFIN29-MAR-2023,1050.0000000,1081.8000000,1081.8000000,1078.0000000,1080.5000000,1080.5000000,2.9000000,10.0000000,2200.0000000,4.0000000,2376165.0000000
FUTSTKFEDERALBNK29-MAR-2023,140.1000000,140.1000000,142.0000000,139.4000000,139.8500000,139.8500000,-0.1700000,12.0000000,75000.0000000,15.0000000,10566500.0000000
FUTIDXMIDCPNIFTY28-FEB-2023,7263.5000000,0.0000000,0.0000000,0.0000000,,7290.3500000,0.3600000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKLAURUSLABS25-JAN-2023,377.5000000,378.2500000,378.8500000,372.0000000,376.0000000,376.0000000,-0.3900000,8802.0000000,1125300.0000000,1023.0000000,421726635.0000000
FUTSTKJSWSTEEL23-FEB-2023,772.7000000,774.2000000,786.9500000,771.0000000,779.8000000,779.8000000,0.9100000,204.0000000,297000.0000000,220.0000000,231687945.0000000
FUTSTKINDUSINDBK23-FEB-2023,1231.1000000,1238.2500000,1241.9500000,1224.0500000,1240.2000000,1240.2000000,0.7300000,460.0000000,58950.0000000,131.0000000,72710752.5000000
FUTSTKIDFCFIRSTB25-JAN-2023,59.2000000,58.8000000,61.8500000,58.7500000,61.5500000,61.5500000,3.9600000,10159.0000000,86385000.0000000,5759.0000000,5264232000.0000000
FUTSTKDRREDDY25-JAN-2023,4261.4500000,4277.8000000,4277.8000000,4229.5500000,4257.8000000,4257.8000000,-0.0800000,18531.0000000,238250.0000000,1906.0000000,1012043993.7500000
FUTSTKHDFCAMC25-JAN-2023,2169.8000000,2173.6000000,2188.7000000,2162.6000000,2185.3500000,2185.3500000,0.7100000,5297.0000000,145200.0000000,484.0000000,316335915.0000000
FUTSTKTATAMOTORS29-MAR-2023,393.8000000,398.0000000,402.0000000,398.0000000,400.7500000,400.7500000,1.7600000,76.0000000,101175.0000000,71.0000000,40479903.7500000
FUTSTKHAL29-MAR-2023,2560.0000000,2557.6000000,2575.0000000,2557.6000000,2563.0000000,2581.9000000,0.8500000,5.0000000,1500.0000000,5.0000000,3850680.0000000
FUTSTKPIDILITIND29-MAR-2023,2586.0000000,0.0000000,0.0000000,0.0000000,,2571.2500000,-0.5700000,2.0000000,0.0000000,0.0000000,0.0000000
FUTSTKOFSS25-JAN-2023,3037.2500000,3033.8500000,3048.3000000,3025.9000000,3041.4000000,3041.4000000,0.1300000,2368.0000000,46000.0000000,230.0000000,139720050.0000000
FUTSTKSHRIRAMFIN23-FEB-2023,1355.1500000,1357.5500000,1372.0000000,1343.6500000,1370.4500000,1370.4500000,1.1200000,372.0000000,58200.0000000,97.0000000,79196130.0000000
FUTSTKINDIGO25-JAN-2023,2020.4500000,2027.9500000,2064.8000000,2015.6000000,2055.6500000,2055.6500000,1.7400000,10695.0000000,524400.0000000,1748.0000000,1071348960.0000000
FUTSTKMGL29-MAR-2023,852.6000000,0.0000000,0.0000000,0.0000000,,859.0000000,0.7500000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKMARICO29-MAR-2023,514.8500000,510.0000000,510.0000000,510.0000000,510.0000000,514.5000000,-0.0600000,2.0000000,1200.0000000,1.0000000,612000.0000000
FUTSTKCUMMINSIND25-JAN-2023,1376.0500000,1370.0500000,1395.0000000,1355.9500000,1390.0500000,1390.0500000,1.0100000,2702.0000000,703800.0000000,1173.0000000,969922230.0000000
FUTSTKBANDHANBNK29-MAR-2023,238.5500000,245.5000000,245.5000000,243.6000000,243.6000000,243.6000000,2.1100000,12.0000000,16200.0000000,9.0000000,3965310.0000000
FUTSTKGNFC29-MAR-2023,571.3000000,0.0000000,0.0000000,0.0000000,,571.9500000,0.1100000,12.0000000,0.0000000,0.0000000,0.0000000
FUTSTKDIXON23-FEB-2023,3891.8000000,3904.3000000,3907.6000000,3878.0500000,3878.0500000,3878.0500000,-0.3500000,143.0000000,1500.0000000,12.0000000,5839068.7500000
FUTSTKLTIM29-MAR-2023,4440.0500000,4382.0000000,4382.0000000,4360.0000000,4360.0000000,4392.6000000,-1.0600000,8.0000000,300.0000000,2.0000000,1311300.0000000
FUTSTKAUROPHARMA23-FEB-2023,442.2000000,443.3000000,443.3000000,432.9000000,439.6000000,439.6000000,-0.5800000,547.0000000,169000.0000000,169.0000000,73855000.0000000
FUTSTKBHARATFORG23-FEB-2023,883.6500000,886.2000000,895.5000000,886.2000000,892.4000000,892.4000000,0.9900000,62.0000000,34000.0000000,34.0000000,30355550.0000000
FUTSTKINDIACEM25-JAN-2023,219.8000000,221.1500000,225.5000000,219.8000000,223.6000000,223.6000000,1.7200000,5173.0000000,2995700.0000000,1033.0000000,668827725.0000000
FUTSTKAXISBANK23-FEB-2023,943.6000000,945.7000000,953.5500000,942.2500000,950.4000000,950.4000000,0.7200000,437.0000000,333600.0000000,278.0000000,316429500.0000000
FUTSTKGODREJPROP29-MAR-2023,1245.5500000,0.0000000,0.0000000,0.0000000,,1256.4500000,0.8700000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKACC25-JAN-2023,2457.9500000,2458.6500000,2481.6500000,2452.9500000,2455.9000000,2455.9000000,-0.0800000,10192.0000000,251750.0000000,1007.0000000,620158975.0000000
FUTSTKLT23-FEB-2023,2111.4500000,2116.9000000,2121.9000000,2099.1000000,2111.5000000,2111.5000000,0.0000000,280.0000000,30600.0000000,102.0000000,64627875.0000000
FUTSTKCONCOR25-JAN-2023,742.2500000,738.5500000,748.7000000,738.5500000,743.8500000,743.8500000,0.2100000,6385.0000000,836000.0000000,836.0000000,621327600.0000000
FUTSTKMRF25-JAN-2023,88527.1000000,88391.3500000,88804.9500000,88055.5000000,88284.9000000,88284.9000000,-0.2700000,4913.0000000,5040.0000000,504.0000000,445382332.0000000
FUTSTKVOLTAS23-FEB-2023,810.3000000,810.7000000,811.9500000,803.0000000,810.8500000,810.8500000,0.0600000,372.0000000,28200.0000000,47.0000000,22778220.0000000
FUTSTKESCORTS23-FEB-2023,2134.9000000,2154.6500000,2199.0000000,2133.0500000,2146.3500000,2146.3500000,0.5300000,53.0000000,11275.0000000,41.0000000,24343825.0000000
FUTSTKBALKRISIND25-JAN-2023,2136.6500000,2126.9000000,2138.8000000,2102.8000000,2132.9500000,2132.9500000,-0.1700000,6476.0000000,298200.0000000,994.0000000,633664950.0000000
FUTSTKFEDERALBNK23-FEB-2023,140.2000000,140.0000000,141.5000000,138.2500000,139.0000000,139.0000000,-0.8500000,262.0000000,855000.0000000,171.0000000,119551000.0000000
FUTSTKAARTIIND25-JAN-2023,609.8000000,610.7000000,616.8000000,608.0500000,613.5000000,613.5000000,0.6000000,3452.0000000,411400.0000000,484.0000000,252193852.5000000
FUTSTKVOLTAS29-MAR-2023,813.9000000,811.1000000,815.0000000,809.0500000,815.0000000,815.0000000,0.1300000,3.0000000,2400.0000000,4.0000000,1947540.0000000
FUTSTKHEROMOTOCO29-MAR-2023,2785.6500000,0.0000000,0.0000000,0.0000000,,2760.1500000,-0.9100000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKPFC25-JAN-2023,142.0500000,142.6500000,151.5000000,141.8500000,150.7000000,150.7000000,6.0800000,9581.0000000,32308200.0000000,5211.0000000,4771381120.0000000
FUTSTKHINDCOPPER29-MAR-2023,111.5000000,118.9500000,118.9500000,118.5000000,118.7000000,118.7000000,6.4500000,4.0000000,19200.0000000,4.0000000,2278560.0000000
FUTSTKLALPATHLAB29-MAR-2023,2141.7500000,2051.0000000,2100.0000000,2045.0000000,2067.7500000,2067.7500000,-3.4500000,24.0000000,8750.0000000,35.0000000,18091087.5000000
FUTSTKTITAN23-FEB-2023,2625.4500000,2630.4000000,2633.2500000,2588.0000000,2597.7000000,2597.7000000,-1.0500000,216.0000000,54000.0000000,144.0000000,140764556.2500000
FUTSTKTRENT29-MAR-2023,1374.4500000,1368.8500000,1371.0000000,1368.4500000,1369.5500000,1364.1000000,-0.7500000,22.0000000,8800.0000000,22.0000000,12052800.0000000
FUTSTKBSOFT25-JAN-2023,299.6000000,300.6500000,300.9500000,294.8000000,299.2500000,299.2500000,-0.1100000,4072.0000000,1924000.0000000,962.0000000,572299300.0000000
FUTSTKFEDERALBNK25-JAN-2023,139.7500000,140.4500000,141.3500000,137.7000000,138.4000000,138.4000000,-0.9600000,13727.0000000,27260000.0000000,5452.0000000,3802686000.0000000
FUTSTKIDEA29-MAR-2023,8.0500000,8.1500000,8.1500000,8.1000000,8.1000000,8.1500000,1.2400000,9.0000000,210000.0000000,3.0000000,1704500.0000000
FUTSTKTORNTPOWER23-FEB-2023,497.5500000,497.2000000,500.3500000,497.2000000,499.1500000,499.1500000,0.3200000,18.0000000,6000.0000000,4.0000000,2991825.0000000
FUTSTKMPHASIS25-JAN-2023,1981.9000000,1983.8500000,1984.3000000,1939.6500000,1975.8500000,1975.8500000,-0.3000000,6463.0000000,477400.0000000,1736.0000000,937818323.7500000
FUTSTKLAURUSLABS29-MAR-2023,383.2000000,376.9500000,382.2000000,376.9500000,381.3500000,379.5000000,-0.9600000,15.0000000,6600.0000000,6.0000000,2510585.0000000
FUTSTKPIIND29-MAR-2023,3478.4500000,0.0000000,0.0000000,0.0000000,,3466.6000000,-0.3400000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKRELIANCE29-MAR-2023,2598.7000000,2595.0000000,2620.6000000,2595.0000000,2619.2500000,2619.2500000,0.7900000,70.0000000,18750.0000000,75.0000000,48997812.5000000
FUTSTKBANDHANBNK25-JAN-2023,235.8000000,244.9000000,249.5000000,237.0000000,241.3000000,241.3000000,2.3300000,25579.0000000,14740200.0000000,8189.0000000,3554946900.0000000
FUTSTKDALBHARAT29-MAR-2023,1894.6000000,0.0000000,0.0000000,0.0000000,,1918.5000000,1.2600000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKPNB29-MAR-2023,57.5500000,57.8500000,58.5500000,57.8000000,58.4500000,58.1000000,0.9500000,30.0000000,304000.0000000,19.0000000,17708000.0000000
FUTSTKBEL29-MAR-2023,101.0000000,101.3000000,101.6000000,101.0000000,101.0000000,101.9000000,0.8900000,6.0000000,22800.0000000,4.0000000,2307930.0000000
FUTSTKAARTIIND23-FEB-2023,611.2000000,612.2000000,617.2000000,610.0000000,614.0000000,614.0000000,0.4500000,193.0000000,20400.0000000,24.0000000,12518332.5000000
FUTSTKAARTIIND29-MAR-2023,620.6000000,0.0000000,0.0000000,0.0000000,,620.7500000,0.0200000,2.0000000,0.0000000,0.0000000,0.0000000
